iter	Passed	Remaining
413	3577	82825
414	3585	82807
415	3593	82786
416	3601	82775
417	3609	82750
418	3617	82730
419	3626	82712
420	3634	82689
421	3642	82664
422	3650	82642
423	3658	82617
424	3666	82600
425	3674	82579
426	3682	82555
427	3690	82532
428	3698	82519
429	3707	82504
430	3715	82491
431	3723	82468
432	3731	82448
433	3739	82428
434	3748	82418
435	3756	82400
436	3764	82374
437	3772	82356
438	3780	82330
439	3788	82316
440	3797	82305
441	3805	82282
442	3812	82256
443	3820	82236
444	3830	82247
445	3840	82271
446	3848	82255
447	3857	82237
448	3864	82212
449	3873	82194
450	3880	82170
451	3888	82148
452	3897	82130
453	3904	82106
454	3912	82081
455	3920	82060
456	3928	82037
457	3936	82017
458	3944	82002
459	3952	81980
460	3960	81958
461	3969	81946
462	3977	81931
463	3985	81906
464	3993	81891
465	4001	81869
466	4009	81852
467	4017	81835
468	4026	81820
469	4034	81807
470	4043	81795
471	4051	81781
472	4059	81757
473	4067	81738
474	4075	81723
475	4083	81703
476	4092	81698
477	4100	81676
478	4107	81653
479	4116	81637
480	4124	81616
481	4131	81593
482	4140	81574
483	4147	81553
484	4155	81533
485	4164	81521
486	4172	81503
487	4180	81479
488	4188	81465
489	4196	81447
490	4204	81434
491	4213	81417
492	4221	81401
493	4229	81384
494	4237	81367
495	4245	81344
496	4253	81326
497	4261	81312
498	4269	81294
499	4277	81276
500	4287	81286
501	4295	81265
502	4303	81244
503	4311	81227
504	4319	81213
505	4327	81197
506	4335	81185
507	4344	81173
508	4352	81158
509	4360	81145
510	4369	81133
511	4377	81122
512	4385	81109
513	4394	81101
514	4402	81087
515	4410	81073
516	4419	81059
517	4427	81044
518	4435	81028
519	4443	81013
520	4451	80992
521	4459	80977
522	4467	80959
523	4476	80953
524	4484	80941
525	4492	80925
526	4501	80907
527	4508	80888
528	4517	80883
529	4526	80870
530	4534	80860
531	4542	80850
532	4550	80832
533	4558	80810
534	4566	80791
535	4574	80771
536	4582	80755
537	4591	80744
538	4599	80730
539	4607	80714
540	4615	80696
541	4623	80682
542	4631	80665
543	4639	80649
544	4648	80637
545	4656	80622
546	4664	80603
547	4672	80585
548	4680	80575
549	4688	80558
550	4696	80539
551	4704	80523
552	4712	80505
553	4720	80489
554	4728	80477
555	4737	80460
556	4745	80451
557	4753	80442
558	4762	80431
559	4770	80414
560	4778	80404
561	4786	80390
562	4795	80373
563	4802	80356
564	4811	80345
565	4819	80329
566	4827	80314
567	4836	80304
568	4843	80285
569	4851	80269
570	4860	80258
571	4868	80241
572	4876	80226
573	4884	80215
574	4893	80217
575	4901	80198
576	4909	80181
577	4917	80161
578	4925	80141
579	4933	80124
580	4941	80109
581	4949	80093
582	4957	80077
583	4965	80059
584	4973	80041
585	4981	80026
586	4989	80013
587	4997	79996
588	5006	79986
589	5014	79969
590	5022	79954
591	5030	79944
592	5038	79930
593	5046	79911
594	5054	79898
595	5062	79883
596	5070	79865
597	5079	79857
598	5087	79842
599	5095	79830
600	5103	79811
601	5111	79796
602	5119	79785
603	5128	79775
604	5136	79756
605	5143	79738
606	5151	79719
607	5159	79703
608	5167	79686
609	5175	79676
610	5183	79656
611	5191	79642
612	5199	79627
613	5207	79610
614	5215	79592
615	5223	79580
616	5231	79564
617	5239	79547
618	5247	79533
619	5256	79519
620	5263	79502
621	5271	79485
622	5280	79475
623	5288	79463
624	5296	79451
625	5304	79437
626	5312	79420
627	5320	79407
628	5329	79393
629	5337	79377
630	5345	79369
631	5353	79353
632	5361	79339
633	5369	79326
634	5377	79309
635	5385	79292
636	5393	79275
637	5401	79262
638	5410	79256
639	5418	79245
640	5426	79228
641	5434	79212
642	5442	79199
643	5450	79185
644	5458	79171
645	5466	79158
646	5475	79149
647	5482	79130
648	5491	79120
649	5499	79110
650	5507	79098
651	5516	79086
652	5525	79089
653	5533	79079
654	5541	79067
655	5549	79050
656	5557	79034
657	5565	79017
658	5574	79010
659	5582	78997
660	5590	78979
661	5598	78963
662	5605	78947
663	5614	78936
664	5622	78930
665	5630	78916
666	5639	78904
667	5647	78892
668	5655	78878
669	5663	78862
670	5671	78850
671	5679	78833
672	5687	78817
673	5695	78801
674	5702	78784
675	5710	78770
676	5719	78760
677	5727	78745
678	5735	78730
679	5743	78715
680	5751	78700
681	5758	78683
682	5766	78668
683	5775	78657
684	5783	78640
685	5791	78629
686	5799	78619
687	5807	78603
688	5815	78589
689	5824	78590
690	5832	78577
691	5840	78563
692	5848	78551
693	5856	78536
694	5864	78523
695	5873	78515
696	5881	78500
697	5889	78488
698	5897	78478
699	5906	78466
700	5914	78452
701	5922	78437
702	5930	78426
703	5938	78410
704	5946	78401
705	5954	78387
706	5962	78374
707	5970	78360
708	5978	78346
709	5986	78336
710	5995	78325
711	6002	78308
712	6011	78297
713	6019	78283
714	6027	78271
715	6035	78261
716	6043	78246
717	6051	78233
718	6059	78219
719	6068	78215
720	6076	78204
721	6084	78190
722	6092	78178
723	6101	78167
724	6109	78154
725	6117	78139
726	6125	78129
727	6133	78119
728	6141	78108
729	6149	78095
730	6157	78082
731	6166	78070
732	6174	78056
733	6182	78042
734	6190	78031
735	6198	78022
736	6206	78011
737	6215	78001
738	6223	77994
739	6232	77984
740	6240	77975
741	6248	77961
742	6256	77947
743	6264	77933
744	6272	77922
745	6280	77907
746	6288	77897
747	6296	77880
748	6304	77866
749	6312	77859
750	6321	77847
751	6329	77834
752	6337	77823
753	6345	77813
754	6353	77800
755	6361	77788
756	6369	77774
757	6377	77762
758	6385	77750
759	6394	77737
760	6401	77722
761	6410	77712
762	6418	77697
763	6426	77685
764	6434	77674
765	6442	77664
766	6450	77648
767	6458	77639
768	6466	77628
769	6475	77617
770	6483	77606
771	6491	77590
772	6499	77578
773	6508	77581
774	6518	77592
775	6528	77605
776	6537	77596
777	6545	77583
778	6553	77578
779	6563	77586
780	6572	77577
781	6580	77567
782	6588	77553
783	6596	77540
784	6604	77530
785	6612	77520
786	6620	77508
787	6629	77495
788	6637	77484
789	6645	77474
790	6653	77464
791	6661	77452
792	6669	77437
793	6677	77425
794	6686	77415
795	6693	77400
796	6701	77386
797	6710	77378
798	6718	77365
799	6726	77351
800	6734	77340
801	6742	77327
802	6750	77315
803	6758	77304
804	6766	77291
805	6774	77280
806	6782	77268
807	6790	77255
808	6799	77243
809	6807	77233
810	6815	77224
811	6823	77210
812	6832	77202
813	6840	77190
814	6847	77176
815	6856	77165
816	6864	77152
817	6872	77139
818	6880	77129
819	6888	77118
820	6896	77108
821	6907	77130
822	6919	77152
823	6926	77137
824	6934	77122
825	6942	77106
826	6950	77094
827	6958	77086
828	6966	77071
829	6975	77061
830	6983	77049
831	6991	77038
832	6999	77027
833	7007	77018
834	7016	77008
835	7024	76998
836	7032	76986
837	7040	76976
838	7048	76966
839	7060	76991
840	7068	76981
841	7076	76971
842	7084	76957
843	7093	76949
844	7101	76938
845	7109	76926
846	7117	76914
847	7126	76908
848	7134	76897
849	7144	76910
850	7155	76922
851	7165	76940
852	7176	76958
853	7187	76978
854	7198	76994
855	7208	76997
856	7216	76986
857	7224	76977
858	7232	76963
859	7240	76950
860	7248	76941
861	7256	76930
862	7265	76920
863	7273	76909
864	7281	76897
865	7289	76885
866	7297	76876
867	7305	76863
868	7313	76851
869	7322	76840
870	7329	76825
871	7338	76813
872	7346	76804
873	7354	76794
874	7362	76783
875	7370	76771
876	7379	76764
877	7387	76751
878	7395	76735
879	7403	76725
880	7411	76713
881	7419	76704
882	7427	76688
883	7435	76678
884	7443	76663
885	7451	76651
886	7459	76641
887	7467	76628
888	7475	76616
889	7483	76604
890	7491	76591
891	7500	76583
892	7508	76571
893	7516	76557
894	7524	76544
895	7532	76533
896	7540	76523
897	7548	76510
898	7556	76502
899	7565	76491
900	7573	76482
901	7581	76468
902	7589	76458
903	7597	76446
904	7605	76433
905	7613	76425
906	7622	76413
907	7630	76402
908	7638	76389
909	7646	76378
910	7654	76365
911	7662	76357
